$CANSAT,1,20.23,1012.45,6.07,24
$CANSAT,2,20.07,1012.21,15.62,12
$CANSAT,3,19.7,1009.94,20.72,2A
$CANSAT,4,19.7,1010.54,28.64,26
$CANSAT,5,19.68,1009.22,36.9,23
$CANSAT,6,19.44,1008.11,45.39,18
$CANSAT,7,19.46,1006.89,51.5,2E
$CANSAT,8,19.79,1005.7,58.7,13
$CANSAT,9,19.31,1004.76,66.55,13
$CANSAT,10,19.48,1003.86,76.37,28
$CANSAT,11,19.48,1003.05,84.55,2B
$CANSAT,12,19.45,1001.71,92.98,22
$CANSAT,13,19.11,1002.02,99.29,24
$CANSAT,14,19.04,1001.24,106.56,1F
$CANSAT,15,19.31,998.54,115.83,2D
$CANSAT,16,19.09,998.12,121.16,2C
$CANSAT,17,19.06,997.17,130.93,25
$CANSAT,18,19.03,995.65,140.75,27
$CANSAT,19,19.08,994.72,150.28,23
$CANSAT,20,18.79,993.26,159.44,2B
$CANSAT,21,18.8,993.53,166.5,27
$CANSAT,22,18.95,992.11,176.2,11
$CANSAT,23,18.53,992.3,184.18,1F
$CANSAT,24,18.72,989.77,191.56,2C
$CANSAT,25,18.76,990.22,196.84,29
$CANSAT,26,18.66,988.79,205.95,25
$CANSAT,27,18.71,987.46,213.71,2C
$CANSAT,28,18.62,986.73,223.42,25
$CANSAT,29,18.58,986.05,228.81,28
$CANSAT,30,18.19,985.83,236.06,28
$CANSAT,31,18.27,984.32,243.49,26
$CANSAT,32,18.09,983.6,249.44,1E
$CANSAT,33,18.27,983.58,256.51,22
$CANSAT,34,18.02,981.77,262.05,2B
$CANSAT,35,18.0,980.76,267.75,1A
$CANSAT,36,18.04,979.7,274.98,1C
$CANSAT,37,18.44,980.48,282.59,20
$CANSAT,38,17.83,979.42,291.44,29
$CANSAT,39,18.06,978.09,298.76,2C
$CANSAT,40,18.14,976.41,306.83,2F
$CANSAT,41,18.2,976.82,313.46,1B
$CANSAT,42,17.89,975.11,320.56,2C
$CANSAT,43,18.02,975.43,327.99,22
$CANSAT,44,17.92,972.94,334.18,25
$CANSAT,45,17.49,973.52,340.93,29
$CANSAT,46,17.62,971.45,350.11,2C
$CANSAT,47,17.43,970.59,359.77,2B
$CANSAT,48,17.66,970.53,365.55,26
$CANSAT,49,17.31,969.06,373.38,21
$CANSAT,50,17.47,968.65,379.25,2A
$CANSAT,51,17.56,968.66,385.12,2F
$CANSAT,52,17.57,966.31,390.5,13
$CANSAT,53,17.22,966.26,398.49,26
